school,school_attr,school_type,province
河北工程大学,省属重点大学 |省部共建大学 |中西部高校基础能力建设工程 |卓越工程师教育培养计划 |CDIO,理工,河北
福建师范大学,福建省重点建设高校（2003） |福建省人民政府与教育部共建高校（2012） |福建省重点建设高水平大学（2014） |福建省一流大学建设高校（2018）|2011计划,师范类,福建
中北大学,中国航天科技教育联盟(2019)|B8协同创新联盟(2018)|卓越工程师教育培养计划2.0（2018）|中西部高校基础能力建设工程(2013)|卓越工程师教育培养计划(2011),综合,山西
中科院地质与地球物理研究所,未知,未知,北京
中科院云南天文台,未知,未知,云南
内蒙古农业大学,中西部高校基础能力建设工程[2] |卓越农林人才教育培养计划[2] |省部共建大学[2] ,农业类,内蒙古
北京石油化工学院,全日制普通高等本科院校|教育部CDIO工程教育改革试点高校（2007年）|教育部首批“卓越工程师教育培养计划”试点高校（2010年）|高水平运动员招生资格高校（2015年）|北京市深化创新创业教育改革示范高校（2017年）,理工,北京
宁波大学,浙江省首批重点建设大学（2000、2015）|国家海洋局与宁波市共建高校（2011）|浙江省、教育部、宁波市共建高校（2012）|“双一流”世界一流学科建设高校（2017）,综合,浙江
上海应用技术大学,未知,综合类（应用型大学）,上海
阜阳师范大学,未知,师范类,安徽
渤海大学,普通本科院校,综合类大学,辽宁
中国人民大学,211工程（1996年） |985工程（2003年）|世界一流大学建设高校A类（2017年）|卓越法律人才教育培养计划（2012年）|卓越农林人才教育培养计划（2014年） ,综合,北京
渤海大学,普通本科院校,综合类大学,辽宁
华南农业大学,全国重点大学（1979年入选）|省部共建大学（广东省人民政府和农业农村部共建）|卓越农林人才教育培养计划（2014年10月入选）|广东省“211工程” |广东省高水平大学（2015入选）,农林类,广东
大连海洋大学,省部共建大学|卓越农林人才教育培养计划（2014年10月入选）|辽宁省一流大学重点建设高校（2017年1月入选）,农林类,辽宁
北京工商大学,未知,综合,北京
湖南工业大学,国家工商行政管理总局与湖南省共建高校（2018年）|服务国家特殊需求博士人才培养项目（2013年）|湖南省2011计划（2014年）[3] |湖南省国内一流学科建设高校（2018年）[10] ,理工类,湖南
河南理工大学,省属重点本科高校 |省部共建高校（2011年入选） |卓越工程师教育培养计划（2011年入选）|中西部高校基础能力建设工程（2012年入选） |新工科研究与实践项目（2018年入选） ,理工类,河南
河北经贸大学,河北省重点骨干大学|河北省国家一流大学建设二层次高校（2016年）,财经,河北
宁波大学,浙江省首批重点建设大学（2000、2015）|国家海洋局与宁波市共建高校（2011）|浙江省、教育部、宁波市共建高校（2012）|“双一流”世界一流学科建设高校（2017）,综合,浙江
辽宁工程技术大学,全国重点大学|省部共建大学|卓越工程师教育培养计划|中西部高校基础能力建设工程|国家大学生创新性实验计划,理工,辽宁
大连海洋大学,省部共建大学|卓越农林人才教育培养计划（2014年10月入选）|辽宁省一流大学重点建设高校（2017年1月入选）,农林类,辽宁
长江大学,省属重点本科高校|省部共建高校（2012年）|中西部高校基础能力建设工程（2012年）|卓越工程师教育培养计划（2012年）|卓越农林人才教育培养计划（2014年）,综合类,湖北
西京学院,省一流民办高校,理工,北京
福建农林大学,福建省重点建设高校（2003年）|农业部与福建省人民政府共建大学（2011）|国家林业局与福建省人民政府共建大学（2012）|福建省高水平大学建设高校（2014）|福建省一流大学建设高校（2018）,农林,福建
牡丹江师范学院,省属本科院校,师范（综合型）,黑龙江
牡丹江师范学院,省属本科院校,师范（综合型）,黑龙江
广西医科大学,111计划[4] |中西部高校基础能力建设工程|省属重点大学,医药,广西
大连大学,卓越教师培养计划（2014）,综合,辽宁
湖北工业大学,省属重点大学|卓越工程师教育培养计划（2011年）|中西部高校基础能力建设工程（2012年）|卓越教师培养计划（2014年）|111计划（2017年）,理工,湖北
福建农林大学,福建省重点建设高校（2003年）|农业部与福建省人民政府共建大学（2011）|国家林业局与福建省人民政府共建大学（2012）|福建省高水平大学建设高校（2014）|福建省一流大学建设高校（2018）,农林,福建
武汉科技大学,全日制普通高等学校|省部共建高校（2013年）|国家中西部高校基础能力建设工程（2016年）|湖北省“双一流”建设高校（2018年）,理工,湖北
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
河北师范大学,省部共建大学（河北省人民政府与教育部共建） |中西部高校基础能力建设工程（2012年）|河北省“双一流”建设一层次高校 （2016年9月）|省属重点大学（1983年）|中西部高校基础能力建设工程（2012年）,师范类,河北
西安科技大学,省部共建高校|陕西省省属高水平大学|中西部高校基础能力建设工程 |卓越工程师教育培养计划|国家建设高水平大学公派研究生项目,理工,陕西
华东交通大学,省属重点本科高校|省部共建大学 |卓越工程师教育培养计划（2011年入选）|中西部高校基础能力建设工程（2016年入选） ,理工类,江西
右江民族医学院,全日制普通高等院校,医药类,广西
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
国家海洋局第二海洋研究所,未知,未知,北京
中科院近代物理研究所,未知,未知,甘肃
中共浙江省委党校,未知,未知,浙江
中国航空研究院626所,未知,未知,黑龙江
中科院成都有机化学研究所,未知,未知,四川
中国地震局地震研究所,未知,未知,北京
北京有色金属研究总院,未知,中央企业,北京
南昌航空大学,江西省人民政府与国家国防科技工业局共建高校（2010） |卓越工程师教育培养计划（2011）,理工类院校,江西
浙江海洋大学,省部共建高校 |卓越农林人才教育培养计划高校 |浙江省国际化特色高校|浙江省一流学科建设高校|浙江省重点建设高校[2] ,"农林
[7]",浙江
温州医科大学,卓越医生教育培养计划（2012年11月） |111计划（2016年9月） |省部共建高校（国家卫生健康委员会、教育部和浙江省人民政府共建）,医药类,浙江
宁波大学,浙江省首批重点建设大学（2000、2015）|国家海洋局与宁波市共建高校（2011）|浙江省、教育部、宁波市共建高校（2012）|“双一流”世界一流学科建设高校（2017）,综合,浙江
宁波大学,浙江省首批重点建设大学（2000、2015）|国家海洋局与宁波市共建高校（2011）|浙江省、教育部、宁波市共建高校（2012）|“双一流”世界一流学科建设高校（2017）,综合,浙江
常州大学,省属重点本科高校|省部共建大学,理工类,江苏
华南农业大学,全国重点大学（1979年入选）|省部共建大学（广东省人民政府和农业农村部共建）|卓越农林人才教育培养计划（2014年10月入选）|广东省“211工程” |广东省高水平大学（2015入选）,农林类,广东
天津职业技术师范大学,省部共建高校|卓越教师培养计划,师范,天津
南宁师范大学,未知,师范类,广西
云南师范大学,省部共建大学（云南省人民政府，教育部共建） |中西部高校基础能力建设工程 |卓越教师培养计划 |省属重点大学 |教育部来华留学示范基地,师范类,云南
中国计量大学,全日制普通本科院校|省部共建大学（2017年）|卓越工程师教育培养计划（2011年）|新工科研究与实践项目|国家级大学生创新创业训练计划,理工,浙江
武汉轻工大学,国家粮食和物资储备局与湖北省人民政府共建高校（2018）|湖北省国内一流学科建设高校（2018）|第一批卓越农林人才教育培养计划（2014）,理工,湖北
武汉轻工大学,国家粮食和物资储备局与湖北省人民政府共建高校（2018）|湖北省国内一流学科建设高校（2018）|第一批卓越农林人才教育培养计划（2014）,理工,湖北
